ccode,Country,year,leadername,business,econ_finance,rgdpe,lnrgdpe,growth,cpg_sw2014,war,law,militarycareer,nato,business_add_close,econ_finance_close,business_nostate,business_exclude_lowlevel,rgdpo,expenditures_total,expenditures_total_million,expenditures_2014,nondefspend,nondefspend_ch,defspend_usa,defspend_ch_usa,diff_us,polconiii,polityfrompolity,polcon_abvmean,polcon_blwmean,cpg_mf,mids_per_yr,business_econ_finance,econ_finance_nobiz,def.exp,def.delta
2,USA,1949,Truman,0,0,NA,NA,NA,3,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,130994,NA,NA,0.391360104,10,0,1,3,0,0,0,147593.4574,NA
2,USA,1950,Truman,0,0,2279786.5,14.63959217,NA,3,1,0,0,1,0,0,0,0,2274197.25,NA,NA,NA,NA,NA,140780,7.470571041,0,0.391360104,10,0,1,3,3,0,0,158620.022,7.470903378
2,USA,1951,Truman,0,0,2440075.5,14.70753956,7.030880451,3,1,0,0,1,0,0,0,0,2443819.5,NA,NA,NA,NA,NA,301216,113.9622116,0,0.407225996,10,0,1,3,6,0,0,339386.7202,113.9620938
2,USA,1952,Truman,0,0,2530523.75,14.74393654,3.706777096,3,1,0,0,1,0,0,0,0,2526412.25,NA,NA,NA,NA,NA,424311,40.86602402,0,0.407225996,10,0,1,3,1,0,0,478080.3611,40.86595988
2,USA,1953,Dwight Eisenhower,0,0,2655277,14.7920599,4.929935932,2.05479455,1,0,1,1,0,0,0,0,2642976.5,NA,NA,NA,NA,NA,436863,2.958207607,0,0.419194967,10,0,1,2.05479455,5,0,0,492223.4496,2.958307774
2,USA,1954,Dwight Eisenhower,0,0,2640868,14.78661823,-0.542652607,2,0,0,1,1,0,0,0,0,2633803,NA,NA,NA,NA,NA,376933,-13.71825981,0,0.419194967,10,0,1,2,5,0,0,424698.6419,-13.71832401
2,USA,1955,Dwight Eisenhower,0,0,2844097.5,14.86075592,7.695555687,2,0,0,1,1,0,0,0,0,2834914,NA,NA,NA,NA,NA,356801,-5.341002464,0,0.386333734,10,0,1,2,5,0,0,402015.1084,-5.341089258
2,USA,1956,Dwight Eisenhower,0,0,2907753.75,14.88289165,2.238190174,2,0,0,1,1,0,0,0,0,2899711,NA,NA,NA,NA,NA,361469,1.30829227,0,0.386333734,10,0,1,2,4,0,0,407275.0607,1.308396683
2,USA,1957,Dwight Eisenhower,0,0,2970561.25,14.90426159,2.160000801,2,0,0,1,1,0,0,0,0,2961845.25,NA,NA,NA,NA,NA,371783,2.853356838,0,0.390636027,10,0,1,2,6,0,0,418896.2389,2.853397936
2,USA,1958,Dwight Eisenhower,0,0,2949130.75,14.89702129,-0.721430779,2,0,0,1,1,0,0,0,0,2930893.25,NA,NA,NA,NA,NA,369578,-0.593087912,0,0.390636027,10,0,1,2,9,0,0,416411.1733,-0.593241322
2,USA,1959,Dwight Eisenhower,0,0,3166056.75,14.96799755,7.355594635,2,0,0,1,1,0,0,0,0,3146971.25,NA,NA,NA,NA,NA,372166,0.700258136,0,0.434428602,10,0,1,2,3,0,0,419327.7766,0.700414285
2,USA,1960,Dwight Eisenhower,0,0,3248585.5,14.99373055,2.606678009,2,0,0,1,1,0,0,0,0,3234811,NA,NA,NA,NA,NA,363006,-2.461267233,0,0.434428602,10,0,1,2,5,0,0,409007.2377,-2.461210422
2,USA,1961,John F. Kennedy,0,0,3332156.5,15.01913071,2.572536469,2.94520545,0,0,0,1,0,0,0,0,3317670,NA,NA,NA,NA,NA,378361,4.229957581,0,0.378695399,10,0,1,2.94520545,12,0,0,426307.3911,4.229791519
2,USA,1962,John F. Kennedy,0,0,3537552.25,15.07894516,6.164050102,3,0,0,0,1,0,0,0,0,3518126.75,NA,NA,NA,NA,NA,409976,8.355776787,0,0.378695399,10,0,1,3,7,0,0,461929.37,8.35593743
2,USA,1963,John F. Kennedy,0,0,3691253.5,15.12147713,4.344844818,3,0,0,0,1,0,0,0,0,3675172.5,NA,NA,NA,NA,NA,404393,-1.361787081,0,0.36900115,10,0,1,3,8,0,0,455638.8066,-1.361802012
2,USA,1964,Lyndon Johnson,0,0,3908560.75,15.17867947,5.88709116,3,0,0,0,1,0,0,0,0,3896564.25,NA,NA,NA,NA,NA,390911,-3.33388567,0,0.36900115,10,0,1,3,6,0,0,440447.8042,-3.334001
2,USA,1965,Lyndon Johnson,0,0,4172653.5,15.24406242,6.756782532,3,1,0,0,1,0,0,0,0,4150917.5,NA,NA,NA,NA,NA,389105,-0.461997747,0,0.350847661,10,0,1,3,4,0,0,442376.8432,0.437972209
2,USA,1966,Lyndon Johnson,0,0,4448089,15.30798531,6.600964069,3,1,0,0,1,0,0,0,0,4418792.5,NA,NA,NA,NA,NA,463423,19.09972954,0,0.350847661,10,0,1,3,3,0,0,523061.1686,18.2388221
2,USA,1967,Lyndon Johnson,0,0,4563164,15.33352661,2.587068081,3,1,0,0,1,0,0,0,0,4525370.5,NA,NA,NA,NA,NA,535141,15.47570992,0,0.382700711,10,0,1,3,4,0,0,600510.7572,14.80698497
2,USA,1968,Lyndon Johnson,0,0,4788155.5,15.38165569,4.930603504,3,1,0,0,1,0,0,0,0,4738531,NA,NA,NA,NA,NA,549446,2.673127174,0,0.382700711,10,0,1,3,4,0,0,619796.6137,3.211575531
2,USA,1969,Nixon,0,0,4942828,15.41344833,3.230309486,2.05479455,1,1,0,1,0,0,0,0,4889585,NA,NA,NA,NA,NA,525814,-4.301059723,0,0.405446142,10,0,1,2.05479455,4,0,0,592570.2315,-4.392793
2,USA,1970,Nixon,0,0,4945543,15.41399765,0.054931641,2,1,1,0,1,0,0,0,0,4896409.5,1.25284E+12,1252841,1360171,873367,NA,486804,-7.418973446,0,0.405446142,10,0,1,2,5,0,0,549163.8031,-7.325111201
2,USA,1971,Nixon,0,0,5111621.5,15.44702721,3.358149529,2,1,1,0,1,0,0,0,0,5059147.5,1.25441E+12,1254409,1361873.375,924086.375,5.807338238,437787,-10.0691452,0,0.397659779,10,0,1,2,3,0,0,494097.1933,-10.02735603
