Duration,sex,age,race,race_8_TEXT,pid1,ideo,pol_interest,pres_approval,state,educ,affective_Dem,affective_Rep,china_frenemy,china_threat,china_opp,tool_diplomacy,tool_sanction,tool_assist_c,tool_covertAction,tool_milthreat,tool_milforce,gender,age,hhi,ethnicity,hispanic,education,political_party,region
226,Female,67,White,,Democrat,Slightly conservative,,Disapprove Somewhat,Wisconsin,2-year college degree,68,36,Enemy,Agree Slightly,Neither Agree nor Disagree,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,67,13,1,1,5,3,2
227,Male,56,Hispanic or Latino,,Independent / Other,Liberal,,Neither Approve nor Disapprove,Florida,2-year college degree,100,0,Friendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,1,56,1,1,16,5,2,3
544,Female,71,White,,Democrat,Liberal,,Disapprove Strongly,New Jersey,4-year college degree,95,2,Unfriendly,Agree Slightly,Agree Somewhat,Very Acceptable,Somewhat Unacceptable,Very Unacceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,2,71,19,1,1,6,1,1
690,Female,54,White,,Democrat,Slightly liberal,,Disapprove Strongly,West Virginia,4-year college degree,81,38,Unfriendly,Agree Somewhat,Agree Slightly,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,54,5,1,12,6,2,3
831,Female,58,Black or African American,,Democrat,Slightly conservative,,Disapprove Somewhat,Alabama,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",100,8,Friendly,Disagree Somewhat,Agree Somewhat,Very Acceptable,Neutral,Neutral,Somewhat Acceptable,Neutral,Somewhat Acceptable,2,58,5,2,1,7,1,3
206,Female,63,White,,Democrat,Slightly liberal,,Disapprove Somewhat,Wisconsin,High school graduate,53,49,Friendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Acceptable,Neutral,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,62,8,1,1,2,2,2
232,Female,43,White,,Independent / Other,"Moderate, middle of the road",,Neither Approve nor Disapprove,Connecticut,High school graduate,50,50,Friendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,43,2,1,1,2,7,1
127,Male,22,White,,Republican,Extremely conservative,,Approve Strongly,New York,4-year college degree,93,11,Enemy,Agree Strongly,Agree Somewhat,Very Acceptable,Neutral,Somewhat Acceptable,Very Acceptable,Neutral,Very Acceptable,1,22,20,1,1,7,10,1
432,Male,40,Black or African American,,Independent / Other,"Moderate, middle of the road",,Disapprove Strongly,Texas,High school graduate,70,0,Unfriendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Very Unacceptable,Neutral,Neutral,Somewhat Unacceptable,1,40,-3105,16,1,2,2,3
465,Male,30,White,,Republican,"Moderate, middle of the road",,Neither Approve nor Disapprove,Washington,High school graduate,42,58,Friendly,Agree Slightly,Neither Agree nor Disagree,Neutral,Somewhat Unacceptable,Very Unacceptable,Somewhat Unacceptable,Very Unacceptable,Somewhat Unacceptable,1,31,1,1,1,2,10,4
420,Female,72,White,,Democrat,"Moderate, middle of the road",Slightly interested,Approve Strongly,Missouri,High school graduate,60,99,Enemy,Agree Strongly,Neither Agree nor Disagree,Somewhat Acceptable,Somewhat Acceptable,Neutral,Neutral,Somewhat Acceptable,Somewhat Acceptable,2,72,8,1,1,2,2,2
217,Female,31,White,,Independent / Other,"Moderate, middle of the road",Slightly interested,Neither Approve nor Disapprove,Maryland,High school graduate,50,50,Ally,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,31,5,1,1,2,4,3
209,Male,32,White,,Democrat,Extremely conservative,Extremely interested,Approve Strongly,Illinois,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",100,100,Enemy,Agree Strongly,Agree Strongly,Very Acceptable,Very Acceptable,Very Acceptable,Very Acceptable,Very Acceptable,Somewhat Acceptable,1,32,20,1,1,7,10,2
329,Female,67,White,,Democrat,Liberal,Extremely interested,Disapprove Strongly,New Jersey,4-year college degree,100,0,Unfriendly,Disagree Somewhat,Agree Slightly,Somewhat Acceptable,Neutral,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,67,9,1,1,6,1,1
335,Female,38,White,,Republican,Conservative,Very interested,Approve Strongly,Connecticut,"Some college, but no degree (yet)",0,91,Unfriendly,Disagree Strongly,Agree Strongly,Very Acceptable,Very Acceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,38,12,1,1,4,10,1
420,Female,66,White,,Republican,Conservative,Very interested,Approve Somewhat,Indiana,"Some college, but no degree (yet)",2,89,Unfriendly,Disagree Somewhat,Agree Slightly,Neutral,Somewhat Acceptable,Very Unacceptable,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,2,68,5,1,1,4,10,2
342,Female,64,Black or African American,,Democrat,Liberal,Not interested at all,Disapprove Strongly,Ohio,High school graduate,100,0,Enemy,Agree Strongly,Disagree Strongly,Very Unacceptable,Very Acceptable,Very Unacceptable,Neutral,Neutral,Very Unacceptable,2,64,1,2,1,2,1,2
365,Female,71,White,,Democrat,Slightly liberal,Moderately interested,Disapprove Strongly,Minnesota,4-year college degree,31,56,Friendly,Agree Somewhat,Agree Somewhat,Very Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Neutral,Neutral,2,71,19,1,1,6,2,2
532,Male,51,White,,Republican,Conservative,Moderately interested,Approve Somewhat,Florida,4-year college degree,0,75,Unfriendly,Agree Slightly,Agree Somewhat,Very Acceptable,Somewhat Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,1,51,9,1,1,6,9,3
515,Female,56,White,,Republican,Extremely conservative,Moderately interested,Approve Strongly,Ohio,High school graduate,0,80,Enemy,Agree Strongly,Disagree Strongly,Very Acceptable,Very Acceptable,Very Unacceptable,Very Unacceptable,Very Acceptable,Very Acceptable,2,56,11,1,1,2,10,2
533,Female,81,White,,Republican,Extremely conservative,Very interested,Approve Strongly,Oklahoma,"Some college, but no degree (yet)",0,82,Enemy,Agree Strongly,Disagree Strongly,Very Acceptable,Very Acceptable,Very Unacceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,81,12,1,1,4,10,3
502,Male,36,White,,Republican,Extremely liberal,Extremely interested,Approve Strongly,Virginia,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",87,69,Ally,Agree Somewhat,Disagree Strongly,Somewhat Acceptable,Somewhat Acceptable,Very Acceptable,Very Acceptable,Somewhat Acceptable,Somewhat Acceptable,1,37,20,1,1,7,10,3
519,Female,66,White,,Democrat,Slightly conservative,Very interested,Disapprove Strongly,Florida,"Some college, but no degree (yet)",36,35,Unfriendly,Agree Somewhat,Neither Agree nor Disagree,Somewhat Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,66,4,1,1,4,2,3
469,Male,58,White,,Democrat,Extremely liberal,Very interested,Approve Somewhat,Arizona,"Some college, but no degree (yet)",64,34,Ally,Agree Slightly,Agree Somewhat,Somewhat Acceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,1,58,2,1,1,4,1,4
358,Male,72,White,,Democrat,Extremely liberal,Extremely interested,Disapprove Strongly,North Carolina,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",94,0,Friendly,Disagree Strongly,Agree Strongly,Very Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,1,72,17,1,1,8,1,3
630,Female,69,White,,Democrat,Liberal,Very interested,Disapprove Strongly,California,"Some college, but no degree (yet)",100,0,Unfriendly,Neither Agree nor Disagree,Agree Somewhat,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,69,15,1,1,4,1,4
733,Female,53,White,,Republican,Slightly conservative,Not interested at all,Approve Somewhat,New York,2-year college degree,60,81,Friendly,Agree Slightly,Agree Slightly,Very Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Neutral,Somewhat Unacceptable,2,53,3,1,1,5,9,1
304,Female,35,White,,Democrat,Extremely liberal,Very interested,Disapprove Strongly,Oklahoma,High school graduate,99,0,Unfriendly,Agree Slightly,Agree Slightly,Very Acceptable,Neutral,Neutral,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,2,35,10,1,1,2,1,3
444,Male,58,White,,Independent / Other,Slightly conservative,Slightly interested,Approve Somewhat,New Jersey,2-year college degree,10,75,Unfriendly,Agree Somewhat,Neither Agree nor Disagree,Very Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,1,58,4,1,1,5,5,1
